Salary,amount (in bottles),Nationality_Cambodian,Nationality_Chinese,Nationality_Indonesian,Nationality_Malaysian,Nationality_Singaporean,Nationality_Thai,Nationality_Vietnamese,Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Tenure_0-2,Tenure_3-5,Tenure_6-10,Tenure_11-15,Tenure_15+
1010,42.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,16.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,52.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,50.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,14.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,10.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,13.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1010,9.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1080,36.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,5.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,20.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,8.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,38.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,6.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,11.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,7.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,30.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,22.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,48.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,9.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,17.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,34.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,26.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,14.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,60.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,18.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,24.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,33.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,13.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,10.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,40.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,32.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,28.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,15.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,16.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,21.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,19.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,27.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,23.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,46.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,42.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,44.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,52.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,12.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,39.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,94.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,152.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,55.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,25.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,56.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,72.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,45.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,43.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,50.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,29.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
1080,54.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
